name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
lijiang city,2022-06-15T00:00:00,16.9,16.9,15.7,92.64,0,0,,0,0,3.6,3.6,162.6,1012,100,24.1,0,0,0,10,Overcast,cloudy,remote
lijiang city,2022-06-15T01:00:00,17.1,17.1,15.7,91.47,0,0,,0,0,3.2,3.2,134.9,1012,100,24.1,0,0,0,10,Overcast,cloudy,remote
lijiang city,2022-06-15T02:00:00,22.7,22.7,22.4,98.19,0,0,,0,0,18,3.6,340,1009.7,100,22,0,0,0,10,Overcast,cloudy,56966099999
lijiang city,2022-06-15T03:00:00,16.8,16.8,15.7,93.23,0,0,,0,0,2.5,2.9,156.2,1011,98.7,24.1,0,0,0,10,Overcast,cloudy,remote
lijiang city,2022-06-15T04:00:00,16.8,16.8,15.5,92.04,0,0,,0,0,2.9,2.9,147.4,1011,100,24.1,0,0,0,10,Overcast,cloudy,remote
lijiang city,2022-06-15T05:00:00,22.2,22.2,21.4,95.23,0,0,,0,0,7.2,3.6,20,1008.9,100,30,0,0,0,10,Overcast,cloudy,56966099999
lijiang city,2022-06-15T06:00:00,16.8,16.8,15.4,91.45,0.1,100,rain,0,0,2.2,2.2,169,1010,100,24.1,0,0,0,10,"Rain, Overcast",rain,remote
lijiang city,2022-06-15T07:00:00,16.7,16.7,15.7,93.82,1.1,100,rain,0,0,0.7,0.7,139.8,1011,100,9.6,2,0,0,10,"Rain, Overcast",rain,remote
lijiang city,2022-06-15T08:00:00,22.7,22.7,22.4,98.19,0,0,rain,0,0,7.2,0,99.6,1009.6,100,20,3,0,0,10,Overcast,cloudy,56966099999
lijiang city,2022-06-15T09:00:00,16.2,16.2,15.8,97.48,0,0,rain,0,0,2.2,1.4,16.2,1012,100,18.8,10,0,0,10,Overcast,cloudy,remote
lijiang city,2022-06-15T10:00:00,16.5,16.5,15.7,95.02,0.3,100,rain,0,0,2.9,2.5,50.8,1013,100,24.1,53,0.2,1,10,"Rain, Overcast",rain,remote
lijiang city,2022-06-15T11:00:00,25.7,25.7,21.6,78.11,0,0,,0,0,10.8,3.6,260,1009.7,100,30,229,0.8,2,10,Overcast,cloudy,56966099999
lijiang city,2022-06-15T12:00:00,19.8,19.8,16.7,82.32,0,0,,0,0,2.5,5.4,30.4,1012,100,24.1,603,2.2,6,10,Overcast,cloudy,remote
lijiang city,2022-06-15T13:00:00,21.5,21.5,16.7,74.13,0.1,100,rain,0,0,3.2,6.5,24.8,1010,100,24.1,735,2.6,7,10,"Rain, Overcast",rain,remote
lijiang city,2022-06-15T14:00:00,29.2,31.1,20.4,59.11,0,0,,0,0,10.8,7.2,160,1007.2,100,30,653,2.4,7,10,Overcast,cloudy,56966099999
lijiang city,2022-06-15T15:00:00,23,23,17.1,69.4,0,0,,0,0,4,3.6,13.3,1008,100,24.1,625,2.3,6,10,Overcast,cloudy,remote
lijiang city,2022-06-15T16:00:00,22.1,22.1,17.5,75.17,0.2,100,rain,0,0,1.4,2.2,317.6,1008,100,15,320,1.2,3,10,"Rain, Overcast",rain,remote
lijiang city,2022-06-15T17:00:00,28.7,30.3,19.9,58.99,0,0,rain,0,0,18,7.2,130,1005.1,100,30,122,0.4,1,10,Overcast,cloudy,56966099999
lijiang city,2022-06-15T18:00:00,20.3,20.3,18.3,88.29,0.5,100,rain,0,0,3.6,3.6,239.2,1007,100,14.9,54,0.2,1,10,"Rain, Overcast",rain,remote
lijiang city,2022-06-15T19:00:00,20.9,20.9,18.9,88.34,0.7,100,rain,0,0,4,2.9,242.8,1007,100,9.6,159,0.6,2,10,"Rain, Overcast",rain,remote
lijiang city,2022-06-15T20:00:00,26.7,26.7,20.4,68.39,0,0,rain,0,0,28.8,14.4,140,1005.7,100,30,35,0.1,0,10,Overcast,cloudy,56966099999
lijiang city,2022-06-15T21:00:00,18.7,18.7,17.8,94.51,0,0,rain,0,0,3.6,4,228,1009,100,8.8,0,0,0,10,Overcast,cloudy,remote
lijiang city,2022-06-15T22:00:00,18.7,18.7,17.8,94.51,0.6,100,rain,0,0,4,4.7,227.8,1009,100,11,0,0,0,10,"Rain, Overcast",rain,remote
lijiang city,2022-06-15T23:00:00,19,19,17.9,93.34,0.2,100,rain,0,0,4.3,5.4,213,1009,100,24.1,0,0,0,10,"Rain, Overcast",rain,remote
